closed_id,size,contains_x,contains_y,block_count,shadow_count,rank,num_minimum_generating_sets,first_minimum_generators,elements
17344,14,False,True,4,6,4,8,6 17 42 81,1 6 7 10 11 16 17 32 33 39 42 48 81 96
17345,14,False,False,4,8,4,24,6 8 48 49,1 6 7 8 9 10 11 16 33 48 49 64 81 96
17346,14,False,False,4,8,4,33,4 5 48 49,1 4 5 6 11 12 13 16 33 48 49 64 81 96
17347,14,False,False,4,8,4,33,3 5 48 49,1 3 5 7 10 12 14 16 33 48 49 64 81 96
17348,14,False,False,4,8,4,36,3 4 48 49,1 3 4 8 9 13 14 16 33 48 49 64 81 96
17349,14,False,False,4,8,4,33,2 5 48 49,1 2 5 8 9 12 15 16 33 48 49 64 81 96
17350,14,False,False,4,8,4,33,2 4 48 49,1 2 4 7 10 13 15 16 33 48 49 64 81 96
17351,14,False,False,4,8,4,33,2 3 48 49,1 2 3 6 11 14 15 16 33 48 49 64 81 96
17352,14,False,True,4,6,3,4,6 42 49,1 6 7 10 11 16 33 39 42 48 49 64 81 96
17353,14,False,False,6,8,5,24,6 8 17 49 96,1 6 7 8 9 10 11 16 17 33 49 65 81 96
17354,14,False,False,6,8,5,33,4 5 17 49 96,1 4 5 6 11 12 13 16 17 33 49 65 81 96
17355,14,False,False,6,8,5,33,3 5 17 49 96,1 3 5 7 10 12 14 16 17 33 49 65 81 96
17356,14,False,False,6,8,5,36,3 4 17 49 96,1 3 4 8 9 13 14 16 17 33 49 65 81 96
17357,14,False,False,6,8,5,33,2 5 17 49 96,1 2 5 8 9 12 15 16 17 33 49 65 81 96
17358,14,False,False,6,8,5,33,2 4 17 49 96,1 2 4 7 10 13 15 16 17 33 49 65 81 96
17359,14,False,False,6,8,5,33,2 3 17 49 96,1 2 3 6 11 14 15 16 17 33 49 65 81 96
17360,14,True,True,6,6,5,4,10 22 39 49 96,1 6 7 10 11 16 17 22 33 39 49 65 81 96
17361,14,True,True,6,6,6,2,2 12 22 39 49 96,1 2 6 7 12 16 17 22 33 39 49 65 81 96
17362,14,False,False,6,8,5,24,6 8 32 64 81,1 6 7 8 9 10 11 16 32 48 64 80 81 96
17363,14,False,False,6,8,5,33,4 5 32 64 81,1 4 5 6 11 12 13 16 32 48 64 80 81 96
17364,14,False,False,6,8,5,33,3 5 32 64 81,1 3 5 7 10 12 14 16 32 48 64 80 81 96
17365,14,False,False,6,8,5,36,3 4 32 64 81,1 3 4 8 9 13 14 16 32 48 64 80 81 96
17366,14,False,False,6,8,5,33,2 5 32 64 81,1 2 5 8 9 12 15 16 32 48 64 80 81 96
17367,14,False,False,6,8,5,33,2 4 32 64 81,1 2 4 7 10 13 15 16 32 48 64 80 81 96
17368,14,False,False,6,8,5,33,2 3 32 64 81,1 2 3 6 11 14 15 16 32 48 64 80 81 96
17369,14,True,True,6,6,5,4,10 22 39 64 81,1 6 7 10 11 16 22 32 39 48 64 80 81 96
17370,14,True,True,6,6,6,2,2 12 22 39 64 81,1 2 6 7 12 16 22 32 39 48 64 80 81 96
17371,14,False,False,4,8,4,24,6 8 32 65,1 6 7 8 9 10 11 16 17 32 65 80 81 96
17372,14,False,False,4,8,4,33,4 5 32 65,1 4 5 6 11 12 13 16 17 32 65 80 81 96
17373,14,False,False,4,8,4,33,3 5 32 65,1 3 5 7 10 12 14 16 17 32 65 80 81 96
17374,14,False,False,4,8,4,36,3 4 32 65,1 3 4 8 9 13 14 16 17 32 65 80 81 96
17375,14,False,False,4,8,4,33,2 5 32 65,1 2 5 8 9 12 15 16 17 32 65 80 81 96
17376,14,False,False,4,8,4,33,2 4 32 65,1 2 4 7 10 13 15 16 17 32 65 80 81 96
17377,14,False,False,4,8,4,33,2 3 32 65,1 2 3 6 11 14 15 16 17 32 65 80 81 96
17378,14,True,False,4,6,3,4,7 27 65,1 6 7 10 11 16 17 22 27 32 65 80 81 96
17379,14,False,False,6,4,4,6,2 6 32 49,1 2 6 16 17 32 33 48 49 64 65 80 81 96
17380,14,False,False,6,4,4,6,2 7 32 49,1 2 7 16 17 32 33 48 49 64 65 80 81 96
17381,14,False,False,6,4,4,6,6 7 32 49,1 6 7 16 17 32 33 48 49 64 65 80 81 96
17382,14,False,False,6,4,3,12,8 32 49,1 8 9 16 17 32 33 48 49 64 65 80 81 96
17383,14,False,False,6,4,3,6,10 32 49,1 7 10 16 17 32 33 48 49 64 65 80 81 96
17384,14,False,False,6,4,3,6,11 32 49,1 6 11 16 17 32 33 48 49 64 65 80 81 96
17385,14,False,False,6,4,4,6,2 12 32 49,1 2 12 16 17 32 33 48 49 64 65 80 81 96
17386,14,False,False,6,4,3,6,5 32 49,1 5 12 16 17 32 33 48 49 64 65 80 81 96
17387,14,False,False,6,4,4,6,6 12 32 49,1 6 12 16 17 32 33 48 49 64 65 80 81 96
17388,14,False,False,6,4,4,6,7 12 32 49,1 7 12 16 17 32 33 48 49 64 65 80 81 96
17389,14,False,False,6,4,3,12,4 32 49,1 4 13 16 17 32 33 48 49 64 65 80 81 96
17390,14,False,False,6,4,3,12,3 32 49,1 3 14 16 17 32 33 48 49 64 65 80 81 96
17391,14,False,False,6,4,3,6,15 32 49,1 2 15 16 17 32 33 48 49 64 65 80 81 96
17392,14,True,False,6,3,4,9,6 22 32 49,1 6 16 17 22 32 33 48 49 64 65 80 81 96
17393,14,True,False,6,4,3,8,1 27 49,1 16 17 22 27 32 33 48 49 64 65 80 81 96
17394,14,False,True,6,3,4,9,7 32 39 49,1 7 16 17 32 33 39 48 49 64 65 80 81 96
17395,14,True,True,6,4,5,48,1 22 32 39 49,1 16 17 22 32 33 39 48 49 64 65 80 81 96
17396,14,False,True,6,4,3,8,1 42 65,1 16 17 32 33 39 42 48 49 64 65 80 81 96
17397,14,False,True,6,3,4,48,1 17 32 55,1 16 17 32 33 39 48 49 55 64 65 80 81 96
17398,14,False,True,6,4,3,16,1 17 58,1 16 17 32 33 39 48 49 58 64 65 80 81 96
17399,14,True,False,6,3,4,48,1 32 33 70,1 16 17 22 32 33 48 49 64 65 70 80 81 96
17400,14,True,False,6,4,3,16,1 33 75,1 16 17 22 32 33 48 49 64 65 75 80 81 96
17401,14,False,False,6,3,4,36,1 16 18 50,1 2 16 17 18 33 34 49 50 65 66 81 82 96
17402,14,False,False,6,3,4,6,2 32 49 82,1 2 16 17 32 33 48 49 64 65 80 81 82 96
17403,14,False,False,6,3,4,6,6 32 49 86,1 6 16 17 32 33 48 49 64 65 80 81 86 96
17404,14,True,False,6,3,4,9,22 32 49 86,1 16 17 22 32 33 48 49 64 65 80 81 86 96
17405,14,True,False,6,4,5,5,16 18 22 49 82,1 2 6 16 17 18 22 33 49 65 81 82 86 96
17406,14,False,False,6,4,5,4,16 18 34 49 86,1 2 6 16 17 18 33 34 49 65 81 82 86 96
17407,14,False,False,6,4,4,8,6 16 17 50,1 2 6 16 17 33 34 49 50 65 81 82 86 96
17408,14,False,False,6,4,4,8,6 16 33 66,1 2 6 16 17 18 33 49 65 66 81 82 86 96
17409,14,True,False,6,4,4,8,2 16 33 70,1 2 6 16 17 22 33 49 65 70 81 82 86 96
17410,14,True,False,4,4,4,24,1 16 22 66,1 2 6 16 17 18 22 65 66 70 81 82 86 96
17411,14,False,False,6,4,4,6,32 49 82 86,1 16 17 32 33 48 49 64 65 80 81 82 86 96
17412,14,True,False,6,4,4,8,1 2 48 70,1 2 6 16 22 32 48 64 70 80 81 82 86 96
17413,14,True,False,4,4,4,8,2 17 32 70,1 2 6 16 17 22 32 65 70 80 81 82 86 96
17414,14,False,False,6,3,4,6,7 32 49 87,1 7 16 17 32 33 48 49 64 65 80 81 87 96
17415,14,False,True,6,3,4,9,32 39 49 87,1 16 17 32 33 39 48 49 64 65 80 81 87 96
17416,14,False,True,4,4,4,24,1 16 39 50,1 2 7 16 33 34 39 49 50 55 81 82 87 96
17417,14,False,True,4,4,4,8,2 33 48 55,1 2 7 16 33 39 48 49 55 64 81 82 87 96
17418,14,False,False,6,4,5,4,16 18 34 49 87,1 2 7 16 17 18 33 34 49 65 81 82 87 96
17419,14,False,True,6,4,5,5,16 34 39 65 82,1 2 7 16 17 33 34 39 49 65 81 82 87 96
17420,14,False,False,6,4,4,8,7 16 17 50,1 2 7 16 17 33 34 49 50 65 81 82 87 96
17421,14,False,True,6,4,4,8,2 16 17 55,1 2 7 16 17 33 39 49 55 65 81 82 87 96
17422,14,False,False,6,4,4,8,7 16 33 66,1 2 7 16 17 18 33 49 65 66 81 82 87 96
17423,14,False,True,6,4,4,8,1 2 32 55,1 2 7 16 32 39 48 55 64 80 81 82 87 96
17424,14,False,False,6,4,4,6,32 49 82 87,1 16 17 32 33 48 49 64 65 80 81 82 87 96
17425,14,True,True,6,3,4,48,6 22 32 55,6 7 16 22 32 39 48 55 64 70 80 86 87 96
17426,14,True,True,4,4,6,16,6 17 22 32 39 86,1 6 7 16 17 22 32 33 39 48 81 86 87 96
17427,14,False,True,4,4,4,8,6 33 48 55,1 6 7 16 33 39 48 49 55 64 81 86 87 96
17428,14,True,True,6,4,6,16,6 16 22 39 49 86,1 6 7 16 17 22 33 39 49 65 81 86 87 96
17429,14,False,True,6,4,4,8,6 16 17 55,1 6 7 16 17 33 39 49 55 65 81 86 87 96
17430,14,True,False,6,4,4,8,7 16 33 70,1 6 7 16 17 22 33 49 65 70 81 86 87 96
17431,14,True,True,6,4,6,16,1 6 22 39 64 86,1 6 7 16 22 32 39 48 64 80 81 86 87 96
17432,14,False,True,6,4,4,8,1 6 32 55,1 6 7 16 32 39 48 55 64 80 81 86 87 96
17433,14,False,False,6,4,4,6,32 49 86 87,1 16 17 32 33 48 49 64 65 80 81 86 87 96
17434,14,True,False,6,4,4,8,1 7 48 70,1 6 7 16 22 32 48 64 70 80 81 86 87 96
17435,14,True,False,4,4,4,8,7 17 32 70,1 6 7 16 17 22 32 65 70 80 81 86 87 96
17436,14,False,True,6,4,4,12,6 16 18 55,2 6 7 16 18 34 39 50 55 66 82 86 87 96
17437,14,True,False,6,4,4,12,7 16 22 50,2 6 7 16 18 22 34 50 66 70 82 86 87 96
17438,14,True,True,6,4,5,10,2 22 39 64 82,2 6 7 16 22 32 39 48 64 80 82 86 87 96
17439,14,False,True,6,4,4,8,2 6 32 55,2 6 7 16 32 39 48 55 64 80 82 86 87 96
17440,14,True,False,6,4,4,8,2 7 48 70,2 6 7 16 22 32 48 64 70 80 82 86 87 96
17441,14,True,False,4,5,5,2,16 18 22 33 87,1 2 6 7 16 17 18 22 33 81 82 86 87 96
17442,14,False,False,4,5,6,24,1 7 16 18 34 86,1 2 6 7 16 17 18 33 34 81 82 86 87 96
